date,Account,daily_pnl,num_trades,win_rate,avg_trade_size,total_fee,classification
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,3,0.0,159.0,0.0,Greed
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,9,0.0,5556.203333333334,12.501455,Extreme Greed
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-205.43473700000007,11,0.36363636363636365,10291.213636363636,28.300831000000002,Greed
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-24.632033999999997,2,0.0,5304.975,2.652489,Greed
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,3,0.0,5116.256666666667,3.8371890000000004,Greed
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,304.982785,14,0.5,8305.572857142857,29.069499,Greed
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0.0,15582.089999999998,7.791045,Greed
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1000.5386120000001,15,0.6666666666666666,6106.827333333334,22.900596,Greed
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,162.732282,18,0.4444444444444444,7868.710555555556,35.409187,Greed
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,537.211402,49,0.5306122448979592,2555.795306122449,31.308469,Greed
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,141.832675,10,0.2,8887.428,22.218566000000003,Greed
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,146.936704,13,0.6153846153846154,6033.711538461538,19.609555,Greed
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1008.619956,39,0.38461538461538464,10332.177948717948,100.738715,Greed
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-245.081348,3,0.0,19982.836666666666,14.987124999999999,Greed
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-704.8892269999999,28,0.14285714285714285,6121.823571428571,42.852747,Greed
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-970.730876,23,0.0,4352.923913043478,25.0293,Greed
