date,long_ratio,classification
2023-05-01,1.0,Greed
2023-12-05,0.7777777777777778,Extreme Greed
2023-12-14,0.45454545454545453,Greed
2023-12-15,1.0,Greed
2023-12-16,1.0,Greed
2023-12-17,0.21428571428571427,Greed
2023-12-18,1.0,Greed
2023-12-19,0.3333333333333333,Greed
2023-12-20,0.5555555555555556,Greed
2023-12-21,0.4489795918367347,Greed
2023-12-22,0.8,Greed
2023-12-23,0.38461538461538464,Greed
2023-12-24,0.5384615384615384,Greed
2023-12-25,0.6666666666666666,Greed
2023-12-27,0.5357142857142857,Greed
2023-12-28,0.43478260869565216,Greed
2023-12-29,0.62,Greed
2023-12-30,0.38461538461538464,Greed
2024-01-01,0.5555555555555556,Greed
2024-01-02,0.5294117647058824,Greed
2024-01-03,0.47761194029850745,Greed
2024-01-04,0.4,Greed
2024-01-05,0.4696969696969697,Greed
2024-01-06,0.5,Greed
2024-01-07,0.5360824742268041,Greed
2024-01-08,0.3125,Greed
2024-01-09,0.4,Extreme Greed
2024-01-10,0.47668393782383417,Greed
2024-01-11,0.6190476190476191,Extreme Greed
2024-01-12,0.7142857142857143,Greed
2024-01-15,0.35714285714285715,Neutral
2024-01-16,0.4444444444444444,Greed
2024-01-17,0.5849056603773585,Greed
2024-01-18,0.391304347826087,Greed
2024-01-19,0.6458333333333334,Neutral
2024-01-20,0.5660377358490566,Neutral
2024-01-21,0.2727272727272727,Greed
2024-01-22,0.6,Greed
2024-01-23,0.7333333333333333,Neutral
2024-01-24,0.39705882352941174,Neutral
2024-01-25,0.0,Neutral
2024-01-26,0.8,Neutral
2024-01-28,0.0,Neutral
2024-01-29,0.28378378378378377,Greed
2024-01-30,0.5714285714285714,Greed
2024-01-31,0.5471478463329453,Greed
2024-02-01,1.0,Greed
2024-02-02,0.4523809523809524,Greed
2024-02-03,0.32142857142857145,Greed
2024-02-04,0.5428571428571428,Greed
2024-02-05,0.4583333333333333,Greed
2024-02-06,0.47610294117647056,Greed
2024-02-07,0.4666666666666667,Greed
2024-02-08,0.2,Greed
2024-02-11,0.6764705882352942,Greed
2024-02-12,0.6875,Greed
2024-02-13,0.0,Extreme Greed
2024-02-14,0.3063063063063063,Greed
2024-02-15,0.8253968253968254,Greed
2024-02-16,0.6318681318681318,Greed
2024-02-17,0.5319148936170213,Extreme Greed
2024-02-18,0.3917525773195876,Greed
2024-02-19,0.40594059405940597,Extreme Greed
2024-02-20,0.3333333333333333,Greed
2024-02-21,0.3181818181818182,Extreme Greed
2024-02-22,0.3977272727272727,Greed
2024-02-23,0.916083916083916,Extreme Greed
2024-02-25,0.4,Greed
2024-02-26,0.6923076923076923,Greed
2024-02-27,0.5238095238095238,Extreme Greed
2024-02-28,0.6888888888888889,Extreme Greed
2024-02-29,0.5172413793103449,Extreme Greed
2024-03-01,0.27007299270072993,Extreme Greed
2024-03-02,0.9032258064516129,Extreme Greed
2024-03-03,0.45569620253164556,Extreme Greed
2024-03-04,0.5366666666666666,Extreme Greed
2024-03-05,0.3055555555555556,Extreme Greed
2024-03-06,0.5975609756097561,Extreme Greed
2024-03-08,0.2835820895522388,Extreme Greed
2024-03-09,0.7094017094017094,Extreme Greed
2024-03-10,0.9047619047619048,Extreme Greed
2024-03-11,0.2857142857142857,Extreme Greed
2024-03-12,0.125,Extreme Greed
2024-03-13,1.0,Extreme Greed
2024-03-14,0.1111111111111111,Extreme Greed
2024-03-15,0.41935483870967744,Extreme Greed
2024-03-16,0.625,Extreme Greed
2024-03-17,0.782608695652174,Extreme Greed
2024-03-18,0.6842105263157895,Extreme Greed
2024-03-19,0.7083333333333334,Extreme Greed
2024-03-20,0.42028985507246375,Greed
2024-03-21,0.9285714285714286,Extreme Greed
2024-03-24,0.7894736842105263,Greed
2024-03-25,0.0,Extreme Greed
2024-03-26,0.06779661016949153,Extreme Greed
2024-03-27,0.5,Extreme Greed
2024-03-28,0.9230769230769231,Extreme Greed
2024-03-29,0.6,Extreme Greed
2024-03-30,0.022222222222222223,Extreme Greed
2024-03-31,0.0,Extreme Greed
2024-04-01,0.4155844155844156,Extreme Greed
2024-04-02,0.24390243902439024,Extreme Greed
2024-04-03,0.75,Greed
2024-04-04,0.0,Greed
2024-04-05,0.17,Extreme Greed
2024-04-06,0.0,Extreme Greed
2024-04-07,0.0,Extreme Greed
2024-04-08,0.03333333333333333,Extreme Greed
2024-04-09,0.0,Extreme Greed
2024-04-10,0.975609756097561,Extreme Greed
2024-04-11,0.875,Extreme Greed
2024-04-12,0.3333333333333333,Extreme Greed
2024-04-13,0.5168539325842697,Greed
2024-04-14,0.42990654205607476,Greed
2024-04-15,0.43902439024390244,Greed
2024-04-16,0.6595744680851063,Greed
2024-04-17,0.9285714285714286,Greed
2024-04-19,0.14285714285714285,Greed
2024-04-20,0.9090909090909091,Greed
2024-04-22,0.0,Greed
2024-04-23,0.5606060606060606,Greed
2024-04-24,0.65,Greed
2024-04-25,1.0,Greed
2024-04-26,0.0,Greed
2024-04-27,0.0,Greed
2024-04-28,0.0,Greed
2024-04-29,0.5333333333333333,Greed
2024-04-30,1.0,Greed
2024-05-01,1.0,Neutral
2024-05-03,0.08333333333333333,Neutral
2024-05-04,0.0,Greed
2024-05-05,0.16666666666666666,Greed
2024-05-06,0.8888888888888888,Greed
2024-05-07,0.3333333333333333,Greed
2024-05-08,0.9230769230769231,Greed
2024-05-09,0.32142857142857145,Greed
2024-05-10,0.7272727272727273,Greed
2024-05-11,0.0,Neutral
2024-05-12,0.7391304347826086,Greed
2024-05-13,0.17857142857142858,Greed
2024-05-14,1.0,Greed
2024-05-15,0.3055555555555556,Greed
2024-05-16,0.5185185185185185,Greed
2024-05-18,0.28,Greed
2024-05-19,1.0,Greed
2024-05-20,0.7,Greed
2024-05-21,0.232,Extreme Greed
2024-05-22,0.0,Extreme Greed
2024-05-23,0.5815384615384616,Extreme Greed
2024-05-24,0.0,Greed
2024-05-25,0.4375,Extreme Greed
2024-05-26,0.125,Extreme Greed
2024-05-27,0.3705179282868526,Greed
2024-05-29,0.40853658536585363,Greed
2024-05-30,0.7142857142857143,Greed
2024-05-31,0.3076923076923077,Greed
2024-06-01,0.36,Greed
2024-06-02,0.3655913978494624,Greed
2024-06-03,0.6285714285714286,Greed
2024-06-04,0.4716981132075472,Greed
2024-06-05,0.3148148148148148,Extreme Greed
2024-06-06,0.4358974358974359,Extreme Greed
2024-06-07,0.4113636363636364,Extreme Greed
2024-06-08,0.7241379310344828,Greed
2024-06-09,1.0,Extreme Greed
2024-06-10,0.41509433962264153,Greed
2024-06-11,0.926829268292683,Greed
2024-06-12,0.452755905511811,Greed
2024-06-13,0.9620253164556962,Greed
2024-06-14,1.0,Greed
2024-06-15,0.11538461538461539,Greed
2024-06-16,0.0,Greed
2024-06-17,0.8421052631578947,Greed
2024-06-18,0.84,Greed
2024-06-19,0.04918032786885246,Greed
2024-06-20,0.0,Greed
2024-06-21,0.85,Greed
2024-06-22,0.16666666666666666,Neutral
2024-06-23,0.0,Greed
2024-06-24,0.8064516129032258,Neutral
2024-06-25,0.22448979591836735,Fear
2024-06-26,0.5694444444444444,Neutral
2024-06-27,0.4,Fear
2024-06-29,0.4666666666666667,Fear
2024-06-30,0.35714285714285715,Neutral
2024-07-01,0.09375,Neutral
2024-07-02,0.7222222222222222,Neutral
2024-07-03,1.0,Neutral
2024-07-04,1.0,Fear
2024-07-05,1.0,Fear
2024-07-06,0.7083333333333334,Fear
2024-07-07,0.0,Fear
2024-07-08,1.0,Fear
2024-07-09,0.0,Fear
2024-07-10,0.17857142857142858,Fear
2024-07-11,0.5263157894736842,Fear
2024-07-12,1.0,Fear
2024-07-13,0.0,Fear
2024-07-14,0.0,Fear
2024-07-15,0.07692307692307693,Neutral
2024-07-16,0.0,Greed
2024-07-17,0.4415954415954416,Greed
2024-07-18,1.0,Greed
2024-07-19,0.043478260869565216,Greed
2024-07-20,0.15413533834586465,Greed
2024-07-21,0.5334821428571429,Greed
2024-07-22,0.6688311688311688,Greed
2024-07-23,0.37027027027027026,Greed
2024-07-24,0.6,Greed
2024-07-25,0.9871794871794872,Greed
2024-07-26,0.28289473684210525,Greed
2024-07-27,0.15789473684210525,Greed
2024-07-28,0.9375,Greed
2024-07-29,0.46153846153846156,Greed
2024-07-30,1.0,Greed
2024-07-31,0.3953488372093023,Greed
2024-08-01,0.8245614035087719,Neutral
2024-08-02,0.6666666666666666,Greed
2024-08-03,0.972972972972973,Fear
2024-08-04,0.47244094488188976,Fear
2024-08-05,0.5125,Fear
2024-08-06,0.7102803738317757,Extreme Fear
2024-08-07,0.36363636363636365,Fear
2024-08-08,0.5555555555555556,Extreme Fear
2024-08-09,0.375,Neutral
2024-08-10,0.9886363636363636,Fear
2024-08-11,0.6666666666666666,Fear
2024-08-12,0.8125,Fear
2024-08-13,0.8695652173913043,Fear
2024-08-14,0.76,Fear
2024-08-15,1.0,Fear
2024-08-16,0.9142857142857143,Fear
2024-08-17,0.9666666666666667,Fear
2024-08-18,0.0,Fear
2024-08-19,0.375,Fear
2024-08-20,0.4166666666666667,Fear
2024-08-21,0.38620689655172413,Fear
2024-08-23,0.0,Fear
2024-08-24,0.0,Greed
2024-08-25,0.47058823529411764,Neutral
2024-08-26,1.0,Greed
2024-08-27,0.98,Neutral
2024-08-28,1.0,Fear
2024-08-29,0.0,Fear
2024-08-30,0.6666666666666666,Fear
2024-08-31,0.3235294117647059,Fear
2024-09-01,0.5833333333333334,Fear
2024-09-02,1.0,Fear
2024-09-04,0.9117647058823529,Fear
2024-09-05,0.0,Fear
2024-09-06,0.09523809523809523,Extreme Fear
2024-09-08,0.0,Fear
2024-09-09,1.0,Fear
2024-09-10,0.3333333333333333,Fear
2024-09-11,0.0,Fear
2024-09-14,0.9090909090909091,Neutral
2024-09-18,0.07586206896551724,Neutral
2024-09-19,1.0,Neutral
2024-09-20,0.1875,Neutral
2024-09-21,0.0,Neutral
2024-09-22,1.0,Neutral
2024-09-23,0.5,Neutral
2024-09-24,0.9,Neutral
2024-09-25,0.6666666666666666,Greed
2024-09-26,0.0,Neutral
2024-09-27,0.0,Greed
2024-09-28,0.0,Greed
2024-09-30,0.09433962264150944,Greed
2024-10-01,1.0,Neutral
2024-10-02,1.0,Fear
2024-10-03,0.6666666666666666,Fear
2024-10-04,0.0,Fear
2024-10-05,0.24324324324324326,Neutral
2024-10-06,0.2727272727272727,Neutral
2024-10-07,0.0,Neutral
2024-10-08,0.9444444444444444,Neutral
2024-10-09,0.7857142857142857,Neutral
2024-10-10,1.0,Fear
2024-10-11,0.0,Fear
2024-10-12,0.7,Neutral
2024-10-13,1.0,Neutral
2024-10-14,0.0,Neutral
2024-10-15,0.42857142857142855,Greed
2024-10-16,0.7272727272727273,Greed
2024-10-17,0.7777777777777778,Greed
2024-10-18,0.16666666666666666,Greed
2024-10-19,1.0,Greed
2024-10-20,0.07291666666666667,Greed
2024-10-21,0.45664739884393063,Greed
2024-10-22,1.0,Greed
2024-10-23,0.8333333333333334,Greed
2024-10-25,0.4666666666666667,Greed
2024-10-27,0.0,Greed
2024-10-28,0.0,Greed
2024-10-29,0.05660377358490566,Greed
2024-10-30,0.32,Extreme Greed
2024-10-31,0.875,Extreme Greed
2024-11-01,0.5652173913043478,Extreme Greed
2024-11-02,1.0,Greed
2024-11-03,1.0,Greed
2024-11-04,0.3611111111111111,Greed
2024-11-05,0.5,Greed
2024-11-06,0.4,Greed
2024-11-07,0.4690265486725664,Extreme Greed
2024-11-08,0.5897435897435898,Extreme Greed
2024-11-09,0.6162790697674418,Extreme Greed
2024-11-10,0.2774566473988439,Extreme Greed
2024-11-11,0.2520107238605898,Extreme Greed
2024-11-12,0.5730994152046783,Extreme Greed
2024-11-13,0.3333333333333333,Extreme Greed
2024-11-14,0.7454545454545455,Extreme Greed
2024-11-15,0.610738255033557,Extreme Greed
2024-11-16,0.49044585987261147,Extreme Greed
2024-11-17,0.3492822966507177,Extreme Greed
2024-11-18,0.36127167630057805,Extreme Greed
2024-11-19,0.5245901639344263,Extreme Greed
2024-11-20,0.44363636363636366,Extreme Greed
2024-11-21,0.4392523364485981,Extreme Greed
